index,cost,sim_edges_bestLO,sim_nodes_bestLO,sim_edges_ILS,sim_nodes_ILS,avg_sim_edges_all,avg_sim_nodes_all
97,74764.0,44,90,43,88,42.271271271271274,87.73773773773773
98,74609.0,44,88,47,87,44.048048048048045,87.74674674674675
99,75725.0,46,87,45,85,42.03803803803804,85.58858858858859
100,76533.0,46,89,42,84,42.732732732732735,86.07107107107107
101,73909.0,45,90,51,92,43.35935935935936,87.77177177177177
102,72171.0,53,91,61,92,47.4014014014014,87.95995995995996
103,74143.0,45,87,56,89,42.21721721721722,85.49249249249249
104,73474.0,56,92,60,92,47.51451451451452,88.7907907907908
105,74033.0,54,90,49,88,46.033033033033036,88.91591591591592
106,73220.0,53,91,54,89,46.33733733733734,88.73973973973973
107,74272.0,42,90,50,90,44.133133133133136,88.73373373373373
108,73223.0,53,92,55,90,46.44144144144144,88.7967967967968
109,73227.0,49,89,57,92,46.95795795795796,88.92992992992993
110,72729.0,51,91,61,92,46.972972972972975,89.13913913913913
111,73244.0,60,91,57,92,48.626626626626624,88.91791791791792
112,72634.0,50,89,54,88,48.5035035035035,88.36936936936937
113,74085.0,53,90,53,91,44.605605605605604,88.07707707707708
114,73074.0,45,93,56,91,46.47747747747748,89.06606606606607
115,73454.0,51,91,52,91,43.550550550550554,88.09109109109109
116,75243.0,47,88,46,87,43.15515515515516,87.37037037037037
117,74636.0,47,91,55,93,43.668668668668666,88.90990990990991
118,72712.0,53,89,58,87,47.492492492492495,87.991991991992
119,73806.0,50,87,48,88,44.970970970970974,86.5915915915916
120,73034.0,59,94,52,89,48.57857857857858,88.88888888888889
121,74960.0,41,88,52,89,42.26126126126126,87.7927927927928
122,72115.0,54,91,66,95,47.712712712712715,88.8038038038038
123,72974.0,55,91,60,91,48.52152152152152,88.58658658658659
124,74427.0,46,89,46,88,45.948948948948946,87.89889889889889
125,72956.0,41,92,45,91,44.38038038038038,89.05105105105105
126,73236.0,54,91,61,91,45.88088088088088,88.29129129129129
127,72584.0,54,92,49,91,44.493493493493496,88.38838838838839
128,74125.0,43,87,54,88,46.546546546546544,87.55055055055055
129,74596.0,51,89,49,88,46.13813813813814,87.55855855855856
130,73046.0,52,89,56,88,48.013013013013015,87.88488488488488
131,72952.0,53,90,58,91,45.74474474474474,87.992992992993
132,72982.0,45,87,53,89,43.56456456456456,85.43243243243244
133,73052.0,45,90,62,91,46.292292292292295,87.91091091091091
134,75214.0,49,90,57,90,43.387387387387385,87.81681681681681
135,72533.0,51,91,54,93,46.567567567567565,88.66666666666667
136,73320.0,51,88,51,88,47.6966966966967,87.07007007007007
137,72552.0,56,92,58,92,47.32332332332332,89.10710710710711
138,71364.0,59,93,65,92,49.82282282282282,88.52152152152152
139,73614.0,50,91,53,92,45.71571571571572,88.65065065065065
140,74294.0,54,91,57,89,45.946946946946944,87.96796796796797
141,75013.0,50,88,44,86,45.23723723723724,87.53453453453453
142,74625.0,45,87,47,87,43.386386386386384,87.14614614614615
143,74660.0,50,88,60,89,46.810810810810814,87.57857857857857
144,76567.0,46,88,47,86,42.213213213213216,86.62662662662663
145,74685.0,48,89,56,94,42.288288288288285,87.44944944944945
146,74204.0,51,90,48,88,43.068068068068065,87.97297297297297
147,75670.0,48,90,49,89,42.708708708708706,88.11311311311312
148,72637.0,50,93,55,94,45.472472472472475,88.46246246246247
149,73861.0,54,88,52,87,45.91591591591592,86.03703703703704
150,72844.0,50,89,59,89,45.83983983983984,87.06806806806807
151,75670.0,48,88,52,87,43.82282282282282,85.56556556556556
152,72187.0,49,89,59,90,47.43843843843844,88.30230230230231
153,73920.0,53,90,53,91,45.52252252252252,88.28128128128128
154,72596.0,52,91,56,93,46.947947947947945,88.05705705705705
155,73399.0,55,91,55,91,47.3993993993994,88.1971971971972
156,74579.0,52,91,58,90,45.866866866866864,86.72572572572572
157,73159.0,44,88,51,89,44.070070070070074,86.04604604604604
158,72506.0,51,93,52,91,46.006006006006004,89.12612612612612
159,73495.0,56,92,61,94,46.76376376376376,87.73273273273273
160,72759.0,50,90,55,94,43.805805805805804,88.21621621621621
161,73914.0,55,90,56,90,47.227227227227225,87.56056056056056
162,74288.0,45,87,50,90,43.71871871871872,87.7937937937938
163,72518.0,54,91,55,90,47.372372372372375,88.56756756756756
164,72790.0,58,94,51,90,45.4954954954955,88.89489489489489
165,72937.0,54,91,56,91,46.907907907907905,89.50150150150151
166,74048.0,46,90,51,91,42.510510510510514,88.34634634634635
167,73643.0,48,89,57,91,47.3033033033033,89.37037037037037
168,73372.0,42,89,57,92,44.07507507507508,89.09209209209209
169,74151.0,44,88,52,87,43.02302302302302,86.71071071071071
